iter	Passed	Remaining
0	152	151961
1	153	76550
2	154	51356
3	155	38754
4	156	31198
5	158	26191
6	159	22616
7	160	19911
8	161	17807
9	162	16129
10	163	14741
11	165	13594
12	166	12620
13	167	11776
14	168	11056
15	169	10423
16	170	9870
17	171	9375
18	173	8942
19	174	8551
20	175	8191
21	176	7863
22	177	7558
23	178	7277
24	179	7018
25	180	6780
26	182	6563
27	183	6359
28	184	6167
29	185	5991
30	186	5826
31	187	5678
32	188	5536
33	190	5399
34	191	5268
35	192	5144
36	193	5028
37	194	4917
38	195	4812
39	196	4712
40	197	4616
41	198	4525
42	199	4441
43	200	4358
44	201	4283
45	202	4209
46	204	4139
47	205	4069
48	206	4003
49	207	3940
50	208	3879
51	209	3819
52	210	3762
53	211	3707
54	212	3654
55	213	3603
56	214	3555
57	215	3507
58	217	3463
59	218	3421
60	219	3377
61	220	3334
62	221	3295
63	222	3254
64	223	3216
65	224	3178
66	225	3145
67	226	3109
68	227	3075
69	228	3041
70	230	3009
71	231	2977
72	232	2949
73	233	2923
74	234	2895
75	236	2869
76	237	2843
77	238	2815
78	239	2788
79	240	2762
80	241	2738
81	242	2716
82	243	2686
83	244	2661
84	245	2637
85	246	2616
86	247	2596
87	248	2575
88	249	2554
89	250	2534
90	251	2514
91	252	2495
92	253	2475
93	254	2457
94	256	2439
95	257	2422
96	258	2404
97	259	2387
98	260	2369
99	261	2353
100	262	2339
101	264	2325
102	265	2309
103	266	2293
104	267	2278
105	268	2264
106	269	2249
107	270	2235
108	271	2221
109	272	2206
110	273	2191
111	274	2177
112	275	2164
113	276	2151
114	278	2140
115	279	2128
116	280	2114
117	281	2102
118	282	2090
119	283	2078
120	284	2067
121	285	2054
122	286	2043
123	287	2031
124	288	2020
125	289	2009
126	290	1997
127	291	1987
128	293	1978
129	294	1969
130	295	1959
131	296	1949
132	297	1939
133	298	1930
134	299	1920
135	300	1911
136	301	1901
137	302	1892
138	304	1883
139	305	1874
140	306	1865
141	306	1854
142	308	1846
143	309	1839
144	310	1830
145	311	1822
146	312	1814
147	313	1806
148	314	1798
149	316	1791
150	317	1783
151	318	1775
152	319	1768
153	320	1761
154	321	1753
155	322	1746
156	324	1740
157	325	1733
158	326	1726
159	327	1719
160	328	1710
161	329	1704
162	330	1697
163	331	1690
164	332	1684
165	333	1677
166	334	1670
167	336	1664
168	337	1657
169	338	1652
170	339	1646
171	340	1640
172	341	1634
173	342	1628
174	344	1622
175	345	1615
176	346	1609
177	347	1603
178	348	1597
179	349	1591
180	350	1585
181	351	1580
182	352	1574
183	353	1569
184	355	1563
185	356	1558
186	357	1552
187	358	1547
188	359	1541
189	360	1536
190	361	1531
191	362	1526
192	363	1520
193	364	1515
194	365	1510
195	366	1505
196	368	1500
197	369	1495
198	370	1490
199	371	1485
200	372	1480
201	373	1475
202	374	1470
203	375	1465
204	376	1461
205	377	1456
206	378	1451
207	380	1446
208	381	1442
209	382	1437
210	383	1432
211	384	1428
212	385	1424
213	386	1420
214	387	1415
215	388	1411
216	389	1406
217	390	1402
218	391	1397
219	392	1393
220	394	1389
221	395	1384
222	396	1380
223	397	1377
224	399	1375
225	400	1371
226	401	1368
227	402	1364
228	403	1359
229	405	1356
230	406	1352
231	407	1349
232	408	1345
233	409	1342
234	411	1338
235	412	1334
236	413	1330
237	414	1328
238	416	1325
239	417	1321
240	418	1318
241	419	1314
242	420	1310
243	421	1307
244	423	1303
245	424	1300
246	425	1296
247	426	1292
248	427	1289
249	428	1285
250	430	1283
251	431	1280
252	432	1277
253	433	1273
254	434	1270
255	435	1266
256	436	1263
257	438	1259
258	439	1256
259	440	1252
260	441	1249
261	442	1246
262	443	1243
263	444	1240
264	446	1237
265	447	1234
266	448	1230
267	449	1227
268	450	1224
269	451	1221
270	452	1217
271	453	1214
272	454	1211
273	455	1207
274	456	1204
